ing,taas
Alchemist,Folhetiik
Alchemy,Folhet
Alcohol,Geikaal
Aldmer,Geinfahliil
Ale,Geikaal
Alert,Ahmiin
Alertness,Ahmiin
Algebra,Golrosik-Tokaas
Alias,Nebenfaan
Alien,Gutiriik
Alienate,Dahtiris
Align,Tahlon
Alignment,Tahloniik
Alik'r,Alikr
Alike,Medaas
Alive,Nahlaas
All,Pah
All-Maker,Pahwahliik
Allegiance,Mir
Allergy,Lovariis
Alley,Korvan
Alliance,Mir
Alligator,Lotvrii
Allophone,Aanvorey-Honaat
Allow,Vos
Alloy,Burkaar
Allude,Nenvaar
Allure,Ziinahl
Allusion,Faanrah
Ally,Grah-Zeymahzin
Almost,Prii
Aloft,Lok
Alone,Naalein
Along,Asamit
Aloud,Enshar
Alphabet,Golrosik
Alphabetical,Golrosikuv
Already,Nalkun
Alright,Bek
Also,Ahk
Altar,Belur
Alter,Muriiv
Alteration,Murahv
Alternative,Krizaak
Although,To
Altmer,Yuvonfahliil
Alto,Loklovaas
Altogether,Pahvoth
Always,Alun
Am,Los
Amateur,Ahtamun
Amaze,Daazun
Amazement,Daazun
Ambassador,Norzaar
Amber,Golsez
Ambiguity,Voreistigaar
Ambition,Paar
Ambitious,Zopaar
Amble,Driinod
Ambulance,Bahvit-Ronth
Ambush,Treymoz
Ambusher,Treymoziik
Amend,Vokren
Amethyst,Jenkazaar
Amid,Benix
Amidst,Benix
Amnesia,Vahruktnu
Among,Benix
Amount,Waarth
Amphibian,Lom-Pahrk
Amphibious,Lom-Pahrk
Amphitheater,Praal-Grahstaad
Ample,Zohaas
Amplify,Ter
Amputate,Vofaak
Amulet,Kagaav
Amuse,Skem
Amused,Skemaan
An,Aan
Anaconda,Lingrahprakem
Anal,Reymuv
Analyze,Siivahzen
Analyzer,Vahzen-Tovitaan
Anarchist,Vothnijuniik
Anarchy,Vothnijun
Anatomy,Kopraanun
Ancestor,Meyr
Ancestral,Meyruv
Ancestry,Meyriid
Anchor,Ankol
Anchor,Ankid
Ancient,Kruziik
And,Ahrk
Anecdote,Maltiid-Tey
Anesthesia,Laagdrun
Angel,Lokzii
Anger,Gerahgron
Anger,Rahgot
Angle,Ulaz
Angry,Rahgron
Angry,Strunus
Anguish,Vaarnufaaz
Animal,Raan
Animalistic,Raanuv
Animate,Eliir
Animism,Ziilun
Animosity,Kosilahey
Animus,Viil
Anion,Kuz-Rimalureyd
Ankle,Sistak
Annex,Eizurik
Annihilate,Skag
Anniversary,Doruvos
Announce,Pahvaak
Annoy,Motag
Annoyance,Motagiik
Annoyer,Motagiik
Annual,Eruvus
Annul,Obliis
Anoint,Qelek
Anomaly,Uzgrolein
Anonymity,Luftnum
Anonymous,Luftnu
Another,Vorey
Answer,Fahraal
Ant,Klav
Anteater,Naakinseklav
Antelope,Neldriin
Anthem,Weridaas
Anthropology,Hahsemun
Anthropomorph,Muneyd
Anthropomorphic,Muneyd
Antic,Ukiir
Anticipate,Prokuz
Anticipate,Prokuz
Antidote,Voviidost
Antler,Andag
Anus,Reym
Anvil,Keyn
Anxiety,Aank
Anxious,Aankei
Any,Naan
Anyhow,Naanven
Anymore,Nidzos
Anyone,Naangein
Anyplace,Pahkolos
Anything,Naan
Anyway,Naanven
Anywhere,Pahkolos
Apart,Oraan
Apathy,Nurzir
Ape,Atumun
Aphorism,Vahzensaag
Apocalypse,Suldaan
Apocalyptic,Suldaanuv
Apologize,Friikir
Apology,Friik
Apostle,Funrahiik
Apothecary,Vahraniik
Apparel,Reken
Apparent,Baar
Apparition,Sii
Appeal,Ziinahl
Appealing,Zolaaf
Appear,Genun
Appearance,Genund
Appease,Maunaz
Appendage,Faak
Applaud,Haalrein
Applause,Haalrein
Apple,Hild
,noun
Applewood,Gosvahsehild
Applicable,Vispeylaan
Apply,Peylaan
Appoint,Volkon
Appreciate,Bal
Apprehensive,Meyarnkei
Apprentice,Prustmun
Approach,Lov
Appropriate,Prudaav
Approve,Zeylum
April,Haalokluv
Apron,Meliis
Aqua,Viid
Aquatic,Lomuv
Arbitrary,Kongaar
Arcana,Lahbaas
Arcane,Nuzuk
Arch,Prok
Archaeology,Hahsewuth
Archenemy,Lotpaal
Archer,Ronaan
Archery,Ronaar
Archetype,Venselor
Archipelago,Skenpor
Architect,Wahlaan-Thur
Archmage,Lotlahzey
Archnemesis,Lotpaal
Archon,Kriisjor
Arctic,Oduv
Arduous,Zograv
Arduously,Zogravaar
Are,Los
Area,Nizaag
Arena,Grahstaad
Argonia,Siigonor
Argonian,Siigonis
Argue,Dilah
Argument,Dilah
Aria,Sulovaas
Arid,Vofukt
Aridity,Vofukt
Arise,Alok
Arm,Deyn
Arm,Yen
Armada,Flaar
Armageddon,Suldaan
Armband,Yen-Du'ul
Armchair,Yendruk
Armful,Zoyen
Armlet,Yen-Du'ul
Armor,Qah
Armored,Qahaar
Armory,Qahliir
Army,Lahvu
Aroma,Sahlon
Around,Um
Arouse,Eliir
Arrange,Devaak
Arrangement,Vorstaald
Array,Dograan
Arrival,Arosend
Arrive,Bo
Arrogance,Pahlok
Arrogant,Pahlokaal
Arrow,Ronaaz
Arson,Vosodag
Art,Baas
Artefact,Tholaar
Artery,Sostrah
Articulate,Bozulat
Artifact,Tholaar
Artificial,Joormur
Artillery,Gutzekein
Artist,Verbaasiik
Artistic,Baasus
Artsy,Baasus
As,Ol
Ascend,Envok
Ascendant,Envokaat
Ascetic,Ronir
Asexual,Niliinvas
Ash,Kii
Ashamed,Zopaak
Ashen,Kiihus
Ashes,Kii
Aside,Ireid
Ask,Laan
Asleep,Enlaag
Aspect,Vensekos
Aspen,Odrin
Aspiration,Tolaan
Aspire,Tolaan
Ass,Reym
Assailant,Zahkeiniik
Assassin,Ahvulon
Assassinate,Kriivat
Assassination,Kriivat
Assault,Zahkein
Assaulter,Zahkeiniik
Assemble,Lahvroth
Assembly,Pahlahvraan
Assess,Kronlorot
Assiduous,Meykovei
Assign,Vusiin
Assist,Frey
Assistance,Freyend
Assistant,Freyiik
Associate,Krosfahdon
Associate,Gevoth
Assorted,Dumedus
Assume,Lorfonaar
Assurance,Pahsu
Asteroid,Gutvild
Astonish,Sujir
Astound,Daazun
Astral,Filuv
Astray,Hondativ
Astrology,Hahsesiin
Astronomer,Hahsefilah
Astronomy,Hahsefil
Asunder,Nivosik
At,Ahst
Atheist,Koraaknu
Atmora,Atmora
Atmosphere,Gekenlokin
Atom,Zahkose
Atomic,Zahkoseyd
Atrocious,Volrokei
Atrocity,Volrog
Atronach,Mukaronahs
Attack,Iidah
Attacker,Zahkeiniik
Attain,Kurahiv
Attainable,Vikurahiv
Attainment,Kurahivend
Attempt,Togaat
Attend,Nuviis
Attention,Morah
Attentive,Ahmiin
Attract,Lokaalvut
Attractive,Lokalvutaal
Attractor,Lokaalvutiik
Attribute,Trahkiin
Attrit,Liivnos
Auburn,Kilmin
Audacious,Dolokei
Audacity,Dolok
Audible,Vihon
Aught,Nonaan
Augment,Ter
August,Laatmaas
Aunt,Tiinah
Aura,Silkun
Aural,Honuv
Aurochs,Kahboz
Aurora,Loksilkun
Author,Verotiik
Authority,Suleyk
Autobiography,Teyselaas
Automatic,Meyar-Sharaan
Automaton,Dwinaar
Automobile,Geltkey
Autumn,Gravuun
Autumnal,Gravuunus
Avail,Balaar
Availability,Vilost
Available,Vilost
Avalanche,Odrahgol
Avatar,Rahnunahst
Avenge,Nahlok
Avenger,Nahkriid
Avoid,Vudoz
Await,Saraan
Awake,Vopraan
Award,Urid
Aware,Ahmiin
Awareness,Ahmiin
Away,Hond
Awe,Keyr
Awesome,Zokeyr
Awesomeness,Zokeyrom
Awkward,Ilkoth
Axe,Hahkun
Ayleid,Filkiir
Babble,Vanvaak
Baby,Pahdul
Back,Rigir
Back,Zek
Backward,Zekativ
Bacon,Flesk
Bad,Volzah
Badge,Siinsezin
Badger,Terag
Bag,Ahpaan
Baggage,Kahlos
Bagpipe,Sunahpaan
Bail,Starak
Bake,Yusnol
Baker,Yusnoliik
Balance,Ro
Balanced,Roaal
Bald,Omnu
Bale,Gurah
Ball,Niiv
Ballad,Lovaassetanz
Ballista,Niidam
Ballistic,Stinfus
Ballistics,Stinfus
Balloon,Suniiv
Balm,Bahsam
Balsam,Bahsam
Bamboo,Veydogosvah
Ban,Fustir
Banana,Banaan
Band,Lid
Bandage,Ahraandon
Bandanna,Klovriiv
Bandit,Thunvu
Bane,Feyn
Bang,Bau
Bangs,Teyxom
Banish,Fustir
Banjo,Rodakwaar
Banjoist,Rodakwaarin
Bank,Biirzah
Banner,Vahyarak
Banquet,Velaaz
Banter,Izaak
Baptize,Qelek
Bar,Tend
Bar,Snol
Barbarian,Volgin
Barber,Omveyaar
Bard,Sonaan
Bare,Nunt
,verb
Barely,Nuth
Bareness,Nuntom
Bargain,Miik
Bargain,Skunvar
Bark,Kem
Bark,Rindah
Barkeep,Snoldein
Barman,Snoldein
Barn,Brenhof
Barometer,Sufus-Funiik
Barometric,Sufusuv
Barrage,Dahzunt
Barrel,Tahdoor
Barren,Nunt
Barrier,Tendrok
Barrow,Staag
Bartender,Snoldein
Barter,Miik
Base,Ubaak
Baseball,Tus-Niiv
Basement,Nebenweyt
Basil,Kump
Basilisk,Viijun
Basin,Storn
Bask,Nokraan
Basket,Doskad
Basketball,Doskad-Niiv
Bass,Thulovaas
Bassist,Zoklotlovaastrinin
Bassoon,Faarsunaak
Bastard,Firok
Bastion,Gaard
Bat,Sloog
Bat,Naat
Bath,Wahsek
Bathe,Wahsek
Bathroom,Shunstaad
Batter,Zahkein
Battery,Gutzekein
Battle,Grah
,noun
Battleaxe,Grahkun
Battlefield,Frod
Battlemage,Keinlahzey
Battlement,Grahangaar
Battleship,Grahveysun
Bawdy,Griir
Bay,Vaal
Bayonet,Zahkriizon
Bazooka,Kaag-Thulzun
Be,Kos
,verb
Beach,Traaz
Beacon,Siintul
Bead,Breyl
Beak,Spok
Beam,Bokun
Bean,Fruksethok
Bear,Kodaav
Bear,Brud
Beard,Vum
Bearded,Vumaal
Beast,Sivaas
Beat,Graal
Beat,Razaan
Beautiful,Brit
Beauty,Brii
Beaver,Qalteyk
Because,Dahik
Beckon,Braag
Become,Meyz
Bed,Sek
Bedside,Sekreid
Bee,Em
Beef,Stek
Beehive,Embodein
Been,Kosaan
Beer,Geikaal
Beeswax,Emronk
Beetle,Skeyz
Befall,Enmah
Before,Us
Befriend,Frahdin
Beg,Bolog
Beget,Got
Beggar,Bologin
Begin,Gon
Beginner,Goniik
Beginning,Gon
Begone,Bonu
Behave,Kosov
Behavior,Kosoveyd
Behead,Voklov
Behemoth,Lotsunvaar
Behind,Undin
Behold,Enmindok
Beholder,Enmindokin
Beige,Tavus
Being,Nahlii
Belated,Spein
Belch,Pooksum
Belief,Koraak
Believable,Viskorah
Believe,Korah
Believer,Korahiid
Belittle,Gemal
Bell,Kriing
Belly,Skerah
Belong,Engein
Beloved,Lokalaat
Below,Atum
Belt,Golaat
Bench,Pravoz
Bend,Kreh
Bend,Krek
Beneath,Neben
Benefactor,Hiifahdon
Beneficial,Dorokuv
Benefit,Dorok
Benevolence,Dremsilaar
Benevolent,Dremsil
Benign,Bahnu
Bent,Krel
Bequeath,Ofalaan
Bequest,Grolaan
Berate,Bulned
Berry,Ogah
Beseem,Komed
Beside,Areid
Besiege,Kirgar
Besmirch,Nahpok
Best,Pruzaan
Bestow,Enfan
Bet,Dahkriis
Betray,Grut
Betrayal,Gruth
Betroth,Aavlaas-Vaat
Betrothal,Aavlaas-Vaat
Better,Pruz
Between,Nix
Beverage,Buruvaan
Beware,Kosiir
Bewilder,Gejeykaan
Bewilderment,Gejeykaant
Bewitch,Ensosin
Beyond,Vortii
Bib,Naakriiv
Bicycle,Zirokey
Bicycler,Zirokeyd
Bicyclist,Zirokeyd
Bid,Braag
Big,Saak
Bike,Zirokey
Biker,Agrokeyd
Bile,Vahriz
Bill,Senah
Billfold,Faraan-Brulost
Billiards,Bord-Niiv
Billow,Viigah
Bin,Kleyt
Bind,Gron
Binoculars,Gutmiin
Biography,Teyselaas
Biological,Laasuv
Biology,Hahselaas
Birch,Lahan
Bird,Lokraan
Birth,Kiindah
Birthday,Kiindahsul
Birthright,Kiindahqaar
Birthright,Kruzikaar
Birthsign,Kiindahsiin
Bisexual,Neyliinvas
Bismuth,Meysolog
Bison,Omkalul
Bit,Muldeytorax
Bite,Fiit
Bitter,Ahzid
Bittersweet,Ahzidhes
Blab,Jol
Black,Ved
,noun
,noun
Blackberry,Vedogah
Blacken,Geved
Blacksmith,Heimiik
Bladder,Nevul-Kolost
Blade,Tuz
Blades,Dovahdaan
Blame,Noraas
Blank,Niliik
Blanket,Donin
Blasphemy,Rakroved
Blast,Kaagend
Blast,Kaag
Blaze,Yem
Blazing,Yoltaas
Bleach,Gesot
Bleak,Veyd
Bleed,Sosaal
Blemish,Vahnis
Bless,Kog
Blessing,Kogaan
Blew,Sun
Blight,Kreyn
Blimp,Loksuniiv
Blind,Koraavnu
Blind,Vokoraav
Blink,Prus
Bliss,Vuro
Blister,Slesgen
Blizzard,Iizstrun
Block,Wadren
Blog,Rilorpel
Blood,Sos
,noun
Bloodeater,Sosnaak
Bloodied,Sus
Bloodlust,Sosahlos
Bloodshed,Sosmah
Bloodthirst,Sosahlos
Bloody,Sus
Bloody,Gesus
Bloom,Veyr
Blossom,Veyr
Blow,Sun
Blue,Bii
,noun
Blue-Green,Biigraag
Blueberry,Lokogah
Bluff,Vinok
Blunt,Zurdon
Blur,Mutahl
Blurry,Mutahus
Blurt,Jol
Blush,Lofur
Boar,Horaak
Board,Zund
Boast,Kahmaar
Boastful,Zokahmaar
Boat,Vaad
Bodily,Kopraanuv
Body,Kopraan
Bog,Trumgol
Boggle,Jekah
Boil,Yoz
Bold,Boziik
Boldly,Boziik
Boldness,Bozikaar
Bolero,Seinlovaas
Bolt,Ruzaak
Bomb,Yolmah
Bombard,Dahzunt
Bond,Grin
Bondage,Aargron
Bone,Qeth
Boneman,Olqeinvul
Bonemold,Qahseqeth
Bonfire,Bex-Yol
Bonus,Priizah
Bony,Qethus
Book,Dey
Bookcase,Hiilahsedey
Bookmark,Deyziik
Bookshelf,Hiilahsedey
Boot,Stov
Booth,Botikah
Border,Tiran
Bore,Vosotiiv
Boreal,Galiko
Bored,Vosotivaal
Boredom,Vosotiiv
Boring,Alunrinis
Born,Kiin
Borrow,Bodiis
Bosmer,Feyfahliil
Boss,Ahmiliik
Both,Ney
Bother,Nuthaak
Bothersome,Zonuthaak
Bottle,Ahlek
Bottom,Baakrit
Bought,Bir
Boulder,Goldrah
Bounce,Bunzit
Bouncy,Bunzitus
Bound,Gro
Boundless,Gronvu
Bountiful,Posiil
Bounty,Povaas
Boutique,Botikah
Bovine,Bozuv
Bow,Qiilaan
Bow,Brax
Bowel,Kipaar
Bowl,Sath
Bowlegged,Krehpaagol
Box,Bexaat
,noun
Boy,Sen
Boyfriend,Onliin
Bra,Niislahriiv
Brace,Ahkt
Bracelet,Brenaak
Braggart,Kahmaariik
Braid,Hadrozaal
Brain,Hahlor
Brainstorm,Hahstrun
Brake,Gelt-Vuth
Bramble,Revneis
Branch,Andel
Brand,Yolskein
Brass,Gosis
Brassiere,Niislahriiv
Brave,Kril
Bravely,Kril
Bravery,Krilaan
Brawl,Maalz
Brawn,Solkiig
Brazen,Boziik
Breach,Briik
Bread,Brot
Breadstick,Brotor
Break,Kren
Breakable,Viskren
Breaker,Kreniik
Breakfast,Krenbahlok
Breakthrough,Strunaar
Breast,Niislah
Breath,Su'um
Breathe,Sum
Breeches,Navik
Breed,Verkiir
Breed,Eylok
Breeze,Suth
Breezy,Suthus
Brethren,Zeyliik
Breton,Munfahliil
Brevity,Maltiidom
Brew,Ginon
Brewery,Geikalstaad
Brick,Tuk
Bricklayer,Tuknokin
Bride,Kiimah
Bridge,Fost
Bridle,Taumir
Brief,Maltiid
Briefness,Maltiidom
Brig,Okazgrunz
Bright,Hez
Brightness,Hezaar
Brilliance,Uraan
Brilliant,Uraniik
Brim,Burdah
Bring,Drun
Bringer,Druniik
Brink,Mahzahd
Broad,Urik
Broaden,Gerik
Broadsword,Uriktuz
Broken,Krent
Bromjunaar,Bromunaar
Bronze,Biin
Brood,Saalum
Brook,Bahyek
Broom,Froliim
Broth,Tahzos
Brothel,Wiigokel
Brother,Zeymah
Brother-in-law,Frin-Zeymah
Brotherhood,Zeymahmaar
Brotherly,Zeymahus
Brought,Drun
Brow,Gov
Brown,Prun
Browse,Rovit
Brush,Dahrim
Brutal,Hevno
Brutality,Hevnoraak
Brute,Hevnaar
Bubble,Diipah
Bubbly,Diipahus
Buck,Toriig
Bucket,Turgun
Buckler,Malspaan
Bud,Lonahvus
Bug,Pusojur
Build,Wahl
Builder,Wahliik
Building,Wahlaan
Built,Wahlaan
Bulb,Lonahvus
Bulk,Kolkir
Bull,Bozok
Bulldozer,Golboaan
Bullet,Fusgelt
Bump,Bil
Bumpy,Bilus
Bunch,Kung
Bunker,Golgevild
Buoyancy,Bovaaldah
Burden,Brudaat
Burger,Yelsliin
Burial,Deytaan
Burier,Deytod
Burn,Ag
Burner,Agiid
Burp,Pooksum
Burrito,Sliinyelbrot
Burrow,Deyvut
Burst,Kaag
Burst,Kaagend
Bury,Deyto
Bus,Lingeltkey
Bush,Jin
Bushy,Jinus
Business,Maarahmik
Bust,Klovnus
Busy,Ofir
But,Nuz
Butcher,Nuksliin
Butter,Yuvol
Butterfly,Demdriik
Button,Batak
Buy,Bir
By,Naal
Bye,Guur
Cabbage,Blad
Cabin,Qiiv
Cable,Geltom
Cacophony,Kagugoz
Cactus,Zeikahvus
Cadence,Lovaasmah
Caffeine,Vopraan-Kolvas
Cage,Kaask
Cairn,Golvahrukt
Cake,Sufolbrot
Calamitous,Lotgraluv
Calamity,Lotgral
Calcite,Qethgelt
Calcium,Qethgelt
Calculate,Tokaas
Calculator,Tokaasiik
Calendar,Tiidfar
Calf,Bol
Call,Faan
Calligraphy,Tindey
Calm,Stiildus
Calm,Stiild
Calumny,Rotzekein
Camel,Saaltor
Camera,Nizahmiin
Camp,Jaald
Campaign,Vaaril
Campfire,Bex-Yol
Can,Vis
Canal,Rathol
Canary,Suruft
Cancel,Genul
Cancellation,Genuld
Cancer,Dunarand
Cancerous,Dunarandkei
Candelabra,Rezmoriiv
Candle,Rezmor
Candlestick,Rezmoriiv
Candy,Shiraav
Cane,Aakoraak
Cannabis,Dulfuhil
Cannibal,Nekov
Cannibalism,Nekovun
Cannon,Treyun
Cannonball,Treyun-Niiv
Cannot,Nis
Canoe,Vaad
Canon,Oron
Canteen,Ahlek
Canyon,Goltahraan
Capability,Vosmaar
Capable,Vos
Capacity,Wid
Cape,Roodam
Caper,Ukiir
Capital,Ahkriim
Capitalism,Meyarpiraak
Caplock,Nos-Thulzun
Capstone,Dulgolz
Capsule,Bexaat
Captain,Ruveyzun
Captive,Grunzah
Captor,Poltoriik
Capture,Poltor
Car,Geltkey
Caramel,Sufin
Caravan,Triik
Carbine,Ah-Thulzun
Carcass,Naas
Card,Shaal
Cardinal,Sahqobiiz
Care,Ulaak
Careful,Ulaakei
Careless,Ulaaknu
Carelessness,Ulaaknurom
Caress,Haalniv
Cargo,Kahlos
Carnage,Soslen
Carnal,Slenuv
Carnivore,Slenaak
Carpenter,Gosvahzir
Carpentry,Gosvahzir
Carpet,Sevmah
Carriage,Borodon
Carrier,Brudmun
Carrot,Sonesk
Carry,Brud
Cart,Donth
Cartographer,Grundiik
Cartography,Vergrundak
Cartoon,Yirtey
Carve,Dwiirok
Carving,Juskov
Cascade,Hulir
Case,Trun
,noun
Casino,Dezahrelstaad
Cast,Fusk
Caster,Fuskiid
Castle,Gevild
Casual,Sulak
Casualty,Grahsaan
Cat,Kaaz
Cataclysm,Lotgral
Cataclysmic,Lotgraluv
Catacomb,Golgraad
Catapult,Damdriik
Catastrophe,Lotgral
,
Catch,Horvutah
Catcher,Horvutahiik
Catfish,Kaazikin
Catholic,Pahleinuv
Cation,Ofan-Rimalureyd
Cattle,Bozogaan
Cauldron,Kahest
Cause,Drun
Caution,Dirun
Cautious,Dirunkei
Cavalry,Lahvukey
Cave,Gul
Cavity,Rafrax
CD,Lovaasvogil
Cease,Viir
Ceasefire,Diinsekein
Ceaseless,Unahzaal
Ceasing,Viir
Cedar,Heldmul
Ceiling,Vokeil
Celebrate,Vervisk
Celebration,Visk
Celebrity,Frahiik
Celestial,Kahliir
Cell,Kaask
Cellar,Nebenweyt
Cellist,Lotlovaastrinin
Cello,Lotlovaastrin
Cement,Golahgil
Cemetery,Nokorun
Centaur,Keymun
Center,Mith
Centimeter,Bentmezaar
Centipede,Pogaanogiir
Central,Mithilaan
Centurion,Lotdwinaar
Century,Beneruvos
Ceramic,Ahgilbaas
Ceremonial,Revkoronuv
Ceremony,Revkoron
Certain,Reistig
Certainty,Reistigaar
Cervine,Driinuv
Chain,Sken
Chainmail,Biirn
Chainsaw,Sken-Worax
Chair,Druk
Chalice,Qodii
Chalk,Kraak
Challenge,Jur
Challenger,Juriik
Chamber,Vost
,noun
Chameleon,Vonusiigonis
Champagne,Qarask
Champion,Kaal
Championship,Krongrahdein
Chance,Grozein
Chancellery,Shiirugrah
Chancellor,Shiirukaar
Chandelier,Lokunfaad
Change,Vuld
Change,Vuldak
Changeable,Vuldrus
Changer,Vuldiik
Changing,Vomulhaan
Channel,Rathol
Channeller,Nahgah
Chant,Ahvit
Chanter,Ahvitaan
Chaos,Volbur
Chaotic,Volburaal
Chaps,Kelmboviir
Chapter,Rup
Char,Agreh
Character,Edil
Charcoal,Ahkol
Charge,Siigren
Charge,Fonaar
Charger,Fonaard
Charity,Stinofan
Charm,Kagiin
Charm,Naag
Charmer,Nahgah
Chase,Niivut
Chaser,Nivutiik
Chasm,Ahgrun
Chaste,Vakron
Chastity,Vakrom
Chat,Tind
Chatroom,Ritinvaak
Chaurus,Kahruz
Cheat,Meyvit
Cheater,Meyvitaan
Check,Frolk
Checker,Frolkiid
Cheek,Zahrid
Cheer,Movut
Cheerful,Zomovut
Cheese,Haamid
Cheesy,Haamidus
Cheetah,Qobokaaz
Chef,Yahnoliik
Chemical,Aaverin
Chemical,Aaverinuv
Chemist,Aaveriniik
Chemistry,Aaverin-Mindaas
Cherish,Elskah
Cherry,Vroz
Cherrywood,Gosvahsevroz
Chess,Kredsejun
Chest,Qahd
Chestplate,Qahdtus
Chew,Krumon
Chewy,Krumonus
Chick,Lokiin
Chicken,Rikmah
Chide,Lahk
Chief,Konaar
Chieftain,Konaar
Child,Kiir
Childhood,Kiirmaar
Childish,Kiirus
Childlike,Kiirus
Children,Kiir
Chill,Iirik
Chilly,Iirikus
Chimer,Kunfahliil
Chimney,Grimolii
Chipmunk,Denek-Nadiin
Chiropractor,Rigir-Vahraniik
Chitin,Qahseqeth
Chivalry,Zinthro
Chocolate,Elaas
Choice,Poguk
Choir,Worah
Choke,Suliiv
Choose,Unad
Chooser,Unadiik
Choosy,Pogukus
Chop,Piir
Chopper,Piriid
